num_elements,VEC,delta_r,delta_en,S_mix,H_mix,T_melt,omega,x_Ag,x_Al,x_B,x_C,x_Ca,x_Co,x_Cr,x_Cu,x_Fe,x_Ga,x_Hf,x_Li,x_Mg,x_Mn,x_Mo,x_Nb,x_Nd,x_Ni,x_Pd,x_Re,x_Sc,x_Si,x_Sn,x_Ta,x_Ti,x_V,x_W,x_Y,x_Zn,x_Zr,test_temperature,test_type_compression,micro_BCC_based,micro_BCC_single,micro_FCC_based,micro_FCC_single,micro_Mixed,micro_Unknown,proc_ANNEAL,proc_CAST,proc_OTHER,proc_POWDER,proc_WROUGHT,grain_size_known,grain_size_log,YS_MPa
6,7.15686274509804,5.663624153778838,0.12190182043534765,13.920872366202895,-13.31795463283353,1704.9019607843138,1.7820846554360212,0.0,0.19607843137254904,0.0,0.0,0.0,0.19607843137254904,0.19607843137254904,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.019607843137254905,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1641.0
6,7.095238095238095,5.948970564296497,0.12361523216652046,14.335348767850853,-14.657596371882086,1734.7619047619046,1.6966231231231728,0.0,0.19047619047619047,0.0,0.0,0.0,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1959.0
6,7.0,6.317143226245214,0.1258294792615771,14.697168880613486,-16.528925619834713,1780.909090909091,1.583546461041604,0.0,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2473.0
5,7.2,5.437822931966038,0.12056533498481224,13.380866803977112,-12.320000000000004,1684.0,1.8290080923616574,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1373.0
5,7.2,5.437822931966038,0.12056533498481224,13.380866803977112,-12.320000000000004,1684.0,1.8290080923616574,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1110.0
6,6.666666666666666,7.398801566679235,0.11908213785264163,14.896688227162047,-12.111111111111109,1684.5,2.0719379987878126,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2411.0
6,7.076923076923077,6.01348182589161,0.12052952693803007,14.22159653636338,-12.33727810650887,1684.1153846153843,1.9413365990383715,0.0,0.1923076923076923,0.0,0.0,0.0,0.1923076923076923,0.1923076923076923,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1265.0
6,6.962962962962963,6.469823534249657,0.12033332763357368,14.58502024404227,-12.318244170096019,1684.2222222222222,1.9941490741195054,0.0,0.18518518518518517,0.0,0.0,0.0,0.18518518518518517,0.18518518518518517,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1481.0
6,6.857142857142858,6.840047552595071,0.12001009736429574,14.77811766176137,-12.270408163265303,1684.3214285714287,2.0285470475359246,0.0,0.17857142857142858,0.0,0.0,0.0,0.17857142857142858,0.17857142857142858,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.10714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1834.0
6,6.758620689655173,7.144995720194988,0.1195860875789883,14.870722517651311,-12.199762187871583,1684.4137931034484,2.0531916718053584,0.0,0.1724137931034483,0.0,0.0,0.0,0.1724137931034483,0.1724137931034483,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2179.0
